RESULTADOS DE ORDENACAO
Media de 100 execucoes por algoritmo (em milissegundos)
--------------------------------------------------------------------------------
Tamanho    Bubble(ms)           Insertion(ms)        Shell(ms)           
--------------------------------------------------------------------------------
10         0,009252             0,001898             0,001897            
20         0,004474             0,002615             0,003735            
30         0,002570             0,001236             0,000945            
40         0,004863             0,002681             0,001871            
50         0,014563             0,003430             0,002109            
60         0,005313             0,005185             0,002467            
70         0,003723             0,009944             0,005737            
80         0,004779             0,021445             0,001591            
90         0,005705             0,002208             0,001283            
100        0,006536             0,002396             0,001490            
1000       0,797267             0,205821             0,072205            
2000       3,172298             0,777868             0,164063            
3000       6,700806             1,643578             0,261936            
4000       11,603298            2,796532             0,356423            
5000       18,707693            4,365305             0,455273            
6000       27,208552            6,776900             0,613113            
7000       39,407459            8,746836             0,681799            
8000       50,979453            11,341026            0,837141            
9000       68,500453            14,410295            0,917458            
10000      85,107717            17,648946            1,109698            
--------------------------------------------------------------------------------
